Park Name,slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Park Header,Park type,Description,Street Address,latitude,longitude,City,Province,Postal Code,Fenced,Separate Small Dog Area,Surface type,Size,Water source available,Benches,Shaded area,Waste bins,Bag Dispensers,Parking Available,Washrooms nearby,Operating hours,Seasonal Restrictions,Park Website or Source,Google Maps Link,Tags,Notes / Comments,Intro Paragraph,Media,Reviewed On,Meta Title,Meta Description,Dog Park FAQs,Park Rules,Public Notes
Oakes Road Dog Run,oakes-road-north,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,687056ee789f1d099e3659b3,false,false,Fri Jul 11 2025 00:12:30 GMT+0000 (Coordinated Universal Time),Sat Aug 15 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Fri Jul 11 2025 12:18:36 GMT+0000 (Coordinated Universal Time),Oakes Road Dog Run,Leash Free,"<p>shifting from generic feature claims to the official Grimsby facts the Town actually publishes. Grimsby's current leash-free dog parks page clearly identifies Oakes Road Dog Run as one of the municipality's three leash-free dog parks and applies one consistent ruleset across the dog parks. The Town says all dogs must have valid licence tags, up-to-date vaccinations and rabies shots, and that the off-leash area is open from 7 a.m. to 9 p.m.</p><p>The official rules also provide the practical guidance visitors need most. Dogs must be leashed when entering and exiting, kept within sight and under verbal control at all times, and not allowed to chase wildlife. Grimsby prohibits puppies under four months, female dogs in heat, sick dogs, and aggressive dogs. The Town also says children must be supervised by an adult at all times and advises parents that the site is not suitable for young children. Because the reviewed official pages do not publish a full amenities sheet for Oakes Road Dog Run itself, this page now avoids overstating details such as benches, bag dispensers, water access, or exact park geometry unless those are confirmed on site.</p>",Oakes Road North,,,Grimsby,Ontario,L3M 4E7,Yes,No published dedicated small-dog area in reviewed official sources,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown - verify on arrival,Unknown,7 a.m. to 9 p.m.,Follow posted Town dog-park rules and general parks by-law,https://www.grimsby.ca/parks-recreation-and-culture/parks-sports-fields-and-trails/leash-free-dog-parks/,https://www.google.com/maps/search/?api=1&query=Oakes+Road+North+Grimsby+ON,"leash-free,fenced,grimsby,dog-run","<p>Primary sources reviewed August 15, 2026: https://www.grimsby.ca/parks-recreation-and-culture/parks-sports-fields-and-trails/leash-free-dog-parks/, https://www.grimsby.ca/parks-recreation-and-culture/parks-sports-fields-and-trails/, and https://www.grimsby.ca/town-hall/policies-plans-and-reports/fire-safety-plans/. These sources support Oakes Road Dog Run as an official leash-free dog park, the Town's 7 a.m. to 9 p.m. operating hours and rule set, general park by-law context, and the presence of Town facilities at 10 Oakes Road North. Specific amenity claims were intentionally limited to what the reviewed official sources publish.</p>",<p>Oakes Road Dog Run is one of the Town of Grimsby's three officially listed leash-free dog parks. The Town's current leash-free dog parks page lists Oakes Road Dog Run alongside Steve McDonnell Leash-Free Dog Park and Southward Park Leash-Free Dog Park.</p>,,Sat Aug 15 2026 12:00:00 GMT+0000 (Coordinated Universal Time),"Oakes Road Dog Run | Grimsby, ON | LeashFree.ca","Source-backed guide to Oakes Road Dog Run in Grimsby, covering the Town's current leash-free designation, 7 a.m. to 9 p.m. hours, and published dog-park rules.",,,
Off-Leash Recreation Area Sutherland,sutherland-off-leash-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871ca3713c4bcf0612b7a76,false,false,Sat Jul 12 2025 02:36:39 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 02:38:51 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 03:27:49 GMT+0000 (Coordinated Universal Time),Sutherland Beach Dog Park | Saskatoon,Leash Free,"<p>Sutherland Beach Dog Park is an official Saskatoon off-leash area with South Saskatchewan River access, natural terrain, and a city-issued water-safety caution.</p>","West of Central Avenue, north of Attridge Drive",52.1532,-106.6151,Saskatoon,Saskatchewan,S7N 0X9,No,No,"Naturalized grass, sand, riverbank, and shared path terrain",Large naturalized dog park,Yes - river access,Unknown - verify on arrival,Some natural tree cover,Unknown - verify on arrival,Unknown - verify on arrival,Access via grid road entry off Central Avenue - verify on arrival,No city-confirmed washrooms noted,Verify posted park hours on arrival,Use elevated caution near water and follow posted city notices,https://www.saskatoon.ca/services-residents/pet-licensing-animal-services/dog-parks,https://www.google.com/maps/search/?api=1&query=Sutherland+Beach+Dog+Park+Saskatoon+SK,"off-leash,saskatoon,sutherland-beach,river-access,water-safety","<p>Primary sources: https://www.saskatoon.ca/services-residents/pet-licensing-animal-services/dog-parks for official dog-park status, river-access water-safety guidance, and current city rules; and https://www.saskatoon.ca/services-residents/pet-licensing-animal-services/dog-parks/commercial-dog-walker for the current Sutherland Beach naming in the commercial dog walker program. Supporting historical city releases also consistently place Sutherland Beach west of Central Avenue, north of Attridge Drive. Reviewed on August 4, 2026.</p>","<p>Sutherland Beach Dog Park is one of Saskatoon&apos;s official <strong>naturalized off-leash areas</strong>, accessed <strong>west of Central Avenue just north of Attridge Drive</strong> along the South Saskatchewan River.</p>",,2026-08-04,Sutherland Beach Dog Park | Saskatoon | LeashFree.ca,"Source-backed guide to Sutherland Beach Dog Park in Saskatoon, including the riverside off-leash setting, access off Central Avenue north of Attridge Drive, water-safety caution, and City dog-park rules.",,,
Orphan's Green,orphans-green,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6843463f067b38e53f7eaff2,false,false,Fri Jun 06 2025 19:49:19 GMT+0000 (Coordinated Universal Time),Fri Jun 06 2025 19:53:26 GMT+0000 (Coordinated Universal Time),Sat Jun 14 2025 00:09:21 GMT+0000 (Coordinated Universal Time),Orphan's Green (Leash-Free Dog Area),Leash Free,"<p>Located in Corktown, Orphan's Green offers a small fenced dog area popular with locals. Though amenities are limited, the off-leash space provides gravel footing, a few trees for shade, and nearby walking paths for added exercise.</p>",500 King Street East,43.65464192189206,-79.36248494272375,Toronto,Ontario,M5A 1M1,Yes,No,Gravel,Approx. 0.2 acres,No,Yes,Partial,Yes,Yes,Street parking,No,7:00 AM – 9:00 PM,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3641,"https://www.google.com/maps/place/Orphan's+Green+Off+Leash+Dog+Park/@43.6546759,-79.3630482,19z/data=!4m6!3m5!1s0x89d4cb3ed8886e7d:0x272b96c89d47e506!8m2!3d43.6545909!4d-79.3624608!16s%2Fg%2F11bwpzz48j?entry=ttu&g_ep=EgoyMDI1MDYwMy4wIKXMDSoASAFQAw%3D%3D","urban, small, gravel, shaded",<p>Gravel may not be ideal for dogs with sensitive paws.</p>,"<p>Orphan's Green in Corktown offers a basic but functional leash-free area, ideal for quick dog breaks in the city.</p>",,,,,,,
Oswald Park,oswald-park-victoria,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871ad75016248a31a33272c,false,false,Sat Jul 12 2025 00:33:57 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 00:53:01 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 01:27:16 GMT+0000 (Coordinated Universal Time),Oswald Park | Victoria Leash-Optional Area,Park,"<p>Oswald Park is a Victoria neighbourhood park in Oaklands with designated leash-optional areas alongside play equipment, a ball diamond, and other shared park amenities.</p>",3031 Cedar Hill Road,48.4433,-123.3396,Victoria,British Columbia,V8T 3J3,No,No,Grass park lawn and sports-field landscape,Small neighbourhood park,Unknown - verify on arrival,Park seating likely - verify on arrival,Some mature tree cover,Yes - verify exact placement on arrival,Unknown - verify on arrival,Street parking,No city-confirmed washrooms noted,Verify posted hours on arrival,Check current city notices and posted dog-area rules,https://www.victoria.ca/parks-recreation/parks-trails/our-parks/oswald-park,https://www.google.com/maps/search/?api=1&query=3031+Cedar+Hill+Road+Victoria+BC,"leash-optional,victoria,oaklands,playground,ball-diamond,oswald-park","<p>Primary sources: City of Victoria park directory and the City of Victoria dogs-in-parks guidance page. Reviewed on August 2, 2026.</p>","<p>Oswald Park is a small <strong>Oaklands neighbourhood park</strong> in Victoria with <strong>leash-optional areas</strong>, plus everyday park features like <strong>play equipment</strong> and a <strong>ball diamond</strong>.</p>",,2026-08-02,Oswald Park | Victoria Leash-Optional Area | LeashFree.ca,"Source-backed guide to Oswald Park in Victoria, including the official Oaklands location, leash-optional designation, play equipment, ball diamond, and city dog-rule context.",,,
Oxbows Off Leash Dog Park,oxbows-off-leash-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871be8db45f51e3542f71cd,false,false,Sat Jul 12 2025 01:46:53 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 02:02:11 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 03:27:49 GMT+0000 (Coordinated Universal Time),Oxbows Off Leash Dog Park,Leash Free,"<p>Oxbows Off Leash Dog Park in Red Deer features fenced areas, agility equipment, and varied terrain for dogs to explore and play safely.</p>",19 St & 32 Ave,52.2436,-113.8196,Red Deer,Alberta,T4R 2T1,Yes,Yes,"grass, gravel, trails",Large,Yes (seasonal),Yes,Partial,Yes,Yes,Yes,Yes (Seasonal),6 am – 11 pm,None,https://www.reddeer.ca/recreation-and-culture/parks-and-trails/parks/oxbows-off-leash-dog-park/,"https://maps.google.com/?q=Oxbows+Off+Leash+Dog+Park,+Red+Deer,+AB","leash-free,fenced,agility,trails,seasonal-water",,"<p>Oxbows Off Leash Dog Park is Red Deer's premier fenced dog park, offering agility features, multiple trails, and ample space for dogs of all sizes.</p>",,,,,,,
Paisley Dog Park,paisley-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871bc5ef9092a9827c9632a,false,false,Sat Jul 12 2025 01:37:34 GMT+0000 (Coordinated Universal Time),Mon Aug 17 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 03:27:49 GMT+0000 (Coordinated Universal Time),Paisley Dog Park | Edmonton,Leash Free,"<p>The old Paisley page claimed more detail than the current primary sources support. What Edmonton clearly confirms is that Paisley is part of the city's off-leash network and that it was one of the <strong>developer-established off-leash areas</strong> created in a higher-need part of the city. The current City of Edmonton off-leash page says developers helped establish off-leash areas in <strong>Paisley, Manning Village, and The Orchards</strong>, and the city's Dogs in Open Spaces Strategy highlights Paisley again as one of the newer <strong>fenced off-leash areas</strong> added through developer participation.</p><p>The developer's own current community material adds the practical neighbourhood context. Brookfield Residential describes Paisley as a community for people and their pets and says the neighbourhood includes a <strong>fenced-in off-leash park</strong>. Brookfield also says a <strong>network of pathways and a pedestrian corridor</strong> connect residents to the <strong>Village Park, playground, and dog park</strong>. Those are useful location and access details because they explain how the dog park fits into the overall neighbourhood design without pretending the developer or city publish a full amenity checklist.For Edmonton users, the broader city rules still apply: license your dog, keep vaccinations current, leash dogs when entering and leaving off-leash boundaries, keep dogs under control and in sight, clean up after them, and remember that Edmonton's parks are shared-use spaces where wildlife may be present. The city also states that vicious dogs are not allowed in off-leash areas.</p>","Paisley neighbourhood, southwest Edmonton",,,Edmonton,Alberta,,Yes,Unknown,Grass,Neighbourhood off-leash park,Unknown,Unknown,Minimal to some young tree cover,Unknown,Unknown,Unknown,Unknown,Verify posted onsite signage and current City of Edmonton guidance,Follow current Edmonton off-leash rules and posted boundaries,https://www.edmonton.ca/activities_parks_recreation/parks_rivervalley/off-leash-sites,https://www.google.com/maps/search/?api=1&query=Paisley+Dog+Park+Edmonton+AB,"off-leash,fenced,developer-established,southwest-edmonton,paisley","<p>Primary sources reviewed on Monday, August 17, 2026: https://www.edmonton.ca/activities_parks_recreation/parks_rivervalley/off-leash-sites for Edmonton's current off-leash rules and the statement that developers established off-leash areas in Paisley, Manning Village, and The Orchards; https://www.edmonton.ca/projects_plans/parks_recreation/dogs-in-open-spaces for the strategy note that Paisley was one of the fenced off-leash areas established by developers; and https://www.brookfieldresidential.com/new-homes/alberta/edmonton-and-area/edmonton/paisley plus Brookfield's Edmonton community hub for the current fenced-in dog park description and the pathway connection to Village Park, playground, and the dog park. These sources support the page as a fenced neighbourhood off-leash park but do not currently support the older page's more specific amenity claims.</p>","<p>Paisley Dog Park is best understood as a <strong>developer-established fenced off-leash area</strong> in southwest Edmonton's <strong>Paisley neighbourhood</strong>. The City of Edmonton currently identifies Paisley as one of the neighbourhoods where developers created new off-leash access, and Brookfield Residential describes the community's dog park as a <strong>fenced-in off-leash park</strong>.</p>",,Mon Aug 17 2026 12:00:00 GMT+0000 (Coordinated Universal Time),"Paisley Dog Park | Edmonton, AB | LeashFree.ca","Source-backed guide to Paisley Dog Park in southwest Edmonton, including the City of Edmonton's current developer-established off-leash designation, Brookfield's fenced park description, and the neighbourhood pathway connections around Paisley.",,,
Palermo Park,palermo-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,684075eb210eb0c78be7b07e,false,false,Wed Jun 04 2025 16:35:55 GMT+0000 (Coordinated Universal Time),Wed Jun 04 2025 16:40:09 GMT+0000 (Coordinated Universal Time),Wed Jun 04 2025 18:22:29 GMT+0000 (Coordinated Universal Time),Palermo Park (Leash-Free Dog Area),Leash Free,"<p>Palermo Park is a spacious 18-acre community park in Oakville featuring a fully fenced, leash-free dog area. The off-leash zone includes a double-gated entrance for added safety and ample seating for owners. While the park lacks shaded areas and a water fountain, it offers a walking trail that surrounds the park, providing additional exercise opportunities for both dogs and their owners. The park also features two baseball/softball diamonds and is known for its beautiful sunsets.</p>",2345 Dundas Street West,,,Oakville,Ontario,L6M 4J3,Yes,No,Grass,18 acres,No,Yes,No,Yes,,Yes,Unknown,Daily: 8:00 AM – 11:00 PM,,https://www.oakville.ca/parks-recreation-culture/parks-gardens-trails/parks/dog-parks/,"https://www.google.com/maps/place/Palermo+Park/@43.4417627,-79.775147,18z/data=!3m1!4b1!4m6!3m5!1s0x882b670f4501c0c9:0x93e22cfded453fde!8m2!3d43.4417613!4d-79.7742366!16s%2Fg%2F11clqx3q_1!5m1!1e1?entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D","fenced, large park, walking trails, benches, sports fields","<p>The park is less crowded, making it ideal for dogs that prefer quieter environments. However, visitors have noted maintenance issues such as bent gates and muddy areas after rain. There is no water fountain, so bringing your own water is recommended.</p>","<p>Palermo Park offers Oakville residents a generous off-leash area within a larger multi-use park. With its expansive space, safety features, and surrounding walking trails, it's a great spot for dogs to exercise and socialize. While amenities are basic, the park's natural setting and additional recreational facilities make it a valuable community asset.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/684076d71ab44f790a326243_Palermo%20Park.jpg,,,,,,
Pandora Park,pandora-dog-park-vancouver,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6838bee968b0ef7f9732bfda,false,false,Thu May 29 2025 20:09:13 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:37:11 GMT+0000 (Coordinated Universal Time),Thu May 29 2025 23:38:18 GMT+0000 (Coordinated Universal Time),Pandora Park (off-leash dog park),Leash Free,"<p>Pet lovers in Vancouver love spending time at Pandora Park, an off-leash area perfect for daily visits. Covering 2673 square meters, it has a grass base that supports active dog activities. It is open from 6 am to 10 pm (full park hours), and includes comfortable benches, offers shady spots, and has accessible washrooms nearby. Do not forget that it does not include water access, which is ideal for dogs on warmer days.</p>",2325 Franklin Street,,,Vancouver,BC,,Yes,,Grass,,No,Yes,Yes,No,,,Yes,6 am to 10 pm (full park hours),,,,,,"<p>Pandora Park is a well-loved off-leash dog park in Vancouver. This park features a grass surface and an open space for dogs to roam freely. It provides no water access, minimal shade, and limited seating, making it a great destination for local dog owners to relax and let their pets socialize.</p>",https://cdn.prod.website-files.com/683758b09dd1e3ac2e4e980a/6838bf6da378932f0d55bef8_border-collie-in-open-grassy-dog-park.png,,,,,,
Parc Jeanne-Mance Dog Park,parc-jeanne-mance-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cc71ac218a4976881e9b,false,false,Sun Jul 13 2025 15:10:41 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:28 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc Jeanne-Mance Dog Park Leash-Free Dog Park,Leash Free,"<p>Parc Jeanne-Mance Dog Park is a spacious off-leash area in downtown Montreal with trees, benches, and gravel surface for dogs to roam freely.</p>",4422 Av de l'Esplanade,45.5193,-73.5861,Montreal,Quebec,H2W 1S3,Yes,No,gravel,Large,Yes (seasonal),Yes,Yes,Yes,Yes,No,Yes,6am–11pm,,https://montreal.ca/en/articles/where-are-dog-parks-montreal-34251,"https://maps.google.com/?q=45.5193,-73.5861","leash-free,fenced,downtown,water",,"<p>Parc Jeanne-Mance Dog Park is a popular off-leash space in Montreal, loved for its downtown convenience and shaded spots. Dogs can roam freely while owners relax nearby.</p>",,,,,,,
Parc Laurier Dog Run,parc-laurier-dog-run,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cc715da735d72bd1dbdd,false,false,Sun Jul 13 2025 15:10:41 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:23 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc Laurier Dog Run Leash-Free Dog Park,Leash Free,"<p>Parc Laurier Dog Run in Montreal is a popular fenced dog area in the heart of the Plateau, ideal for dogs to exercise and socialize.</p>",1115 Rue Laurier E,45.5278,-73.5769,Montreal,Quebec,H2J 1C1,Yes,No,gravel,Medium,No,Yes,Partial,Yes,Yes,No,No,6am–11pm,,https://montreal.ca/en/articles/where-are-dog-parks-montreal-34251,"https://maps.google.com/?q=45.5278,-73.5769","leash-free,fenced,urban",,"<p>Parc Laurier Dog Run is a beloved leash-free dog park in Montreal, known for its lively atmosphere and central location. It’s a great place for dogs to play and socialize year-round.</p>",,,,,,,
Parc Sir-Wilfrid-Laurier Dog Park,parc-sir-wilfrid-laurier-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cdbcfb2b23c0989b51b3,false,false,Sun Jul 13 2025 15:16:12 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:17 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc Sir-Wilfrid-Laurier Dog Park,Leash Free,<p>Parc Sir-Wilfrid-Laurier Dog Park is a popular fenced off-leash area in Montreal offering a safe and social environment for dogs to run and play.</p>,Avenue Laurier E & Rue de Mentana,45.5278,-73.5784,Montreal,Quebec,H2J 3N8,Yes,No,gravel,Medium,No,Yes,Partial,Yes,Yes,No,No,6am–11pm,,https://www.bringfido.com/attraction/16746,https://goo.gl/maps/b1FZafkmTezVLdLj6,"leash-free,fenced,gravel",,"<p>Parc Sir-Wilfrid-Laurier Dog Park is a popular leash-free dog park in Montreal, known for its vibrant atmosphere and convenient Plateau location. It’s a great spot for dogs to run, socialize, and enjoy the outdoors safely.</p>",,,,,,,
Parc canin Saint-Augustin-de-Desmaures,parc-canin-saint-augustin-de-desmaures,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cb132d7c87c9eda465c7,false,false,Sun Jul 13 2025 15:04:51 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:33 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc canin Saint-Augustin-de-Desmaures Leash-Free Dog Park,Leash Free,"<p>Located just outside Quebec City, this off-leash park offers a peaceful natural setting for dogs to play and explore.</p>",200 Rue Jean-Juneau,46.7498,-71.4138,Saint-Augustin-de-Desmaures,Quebec,G3A 1W9,Yes,No,grass,Large,Unknown,Yes,Yes,Yes,Yes,Yes,No,6am–10pm,None,https://www.bringfido.com/attraction/25951,"https://www.google.com/maps/place/200+Rue+Jean-Juneau,+Saint-Augustin-de-Desmaures","leash-free, fenced, grass",<p>Located west of Quebec City; serene and less busy.</p>,"<p>Parc canin Saint-Augustin-de-Desmaures is a large off-leash dog park near Quebec City, known for its calm surroundings and open space. It’s a great retreat for dogs and their owners seeking a quieter park experience.</p>",,,,,,,
Parc canin de la Pente-Douce,parc-canin-de-la-pente-douce,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cb1319560dc19e9d2ed5,false,false,Sun Jul 13 2025 15:04:51 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:39 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc canin de la Pente-Douce Leash-Free Dog Park,Leash Free,<p>Parc canin de la Pente-Douce is a popular leash-free dog park in Quebec City with a large fenced area and social atmosphere for dogs and owners alike.</p>,3500 Avenue Chauveau,46.8702,-71.2656,Quebec City,Quebec,G2C 1A5,Yes,Unknown,grass,Large,Yes (seasonal),Yes,Partial,Yes,Yes,Yes,Unknown,6am–10pm,None,https://www.bringfido.com/attraction/25950,"https://www.google.com/maps/place/Parc+canin+de+la+Pente-Douce/@46.8702,-71.2656","leash-free, fenced, grass, seasonal water",<p>Very popular with locals; can be busy during peak hours.</p>,"<p>Parc canin de la Pente-Douce is a popular leash-free dog park in Quebec City, known for its spacious green area and friendly community. It’s a great spot for dogs to socialize and play off-leash.</p>",,,,,,,
Parc de Duberger,parc-de-duberger,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cb1346cd1912f3878834,false,false,Sun Jul 13 2025 15:04:51 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:51 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc de Duberger Leash-Free Dog Park,Leash Free,<p>Parc de Duberger features a designated off-leash zone surrounded by a wooded landscape and nearby walking trails in Quebec City.</p>,2350 Boulevard Père-Lelièvre,46.8211,-71.2967,Quebec City,Quebec,G1P 2X4,Partial,No,"grass, dirt",Medium,No,Limited,Yes,Yes,Yes,Yes,No,6am–10pm,None,https://www.ville.quebec.qc.ca,"https://www.google.com/maps/place/Parc+de+Duberger/@46.8211,-71.2967","leash-free, trails, partial fence",<p>Wooded park with informal off-leash trails.</p>,"<p>Parc de Duberger is a designated off-leash dog park in Quebec City, known for its mix of wooded areas and open zones. Dogs can enjoy off-leash play while exploring nearby trails.</p>",,,,,,,
Parc de la Louisianne Dog Park,parc-de-la-louisianne-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cdbcc61183291ac77051,false,false,Sun Jul 13 2025 15:16:12 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:11 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc de la Louisianne Dog Park,Leash Free,<p>Parc de la Louisianne Dog Park is a well-known off-leash space in Montreal with shaded seating and ample space for dog play and socialization.</p>,3135 Rue de Louvain E,45.5609,-73.6289,Montreal,Quebec,H1Z 1J5,Yes,No,grass,Large,No,Yes,Yes,Yes,Yes,Yes,No,6am–11pm,,https://www.bringfido.com/attraction/16743,https://goo.gl/maps/buzy6RzF88evhZ7j9,"leash-free,fenced,grass",,"<p>Parc de la Louisianne Dog Park is a large leash-free area in Montreal, known for its green space and relaxed vibe. It’s ideal for energetic dogs looking to burn off steam.</p>",,,,,,,
Parc du Sault-au-Récollet Dog Park,parc-du-sault-au-recollet-dog-park,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6873cdbdbf1558c7cfde6898,false,false,Sun Jul 13 2025 15:16:13 GMT+0000 (Coordinated Universal Time),Tue Jul 15 2025 23:49:02 GMT+0000 (Coordinated Universal Time),Wed Jul 16 2025 00:26:21 GMT+0000 (Coordinated Universal Time),Parc du Sault-au-Récollet Dog Park,Leash Free,"<p>Located in a scenic riverside setting, Parc du Sault-au-Récollet Dog Park offers a peaceful off-leash experience with urban charm.</p>",10500 Rue Chambord,45.5646,-73.6703,Montreal,Quebec,H2C 2R6,Yes,No,grass,Medium,Unknown,Yes,Limited,Yes,Yes,Yes,Unknown,6am–11pm,,https://www.rockymountaindog.ca/blogs/news/montreal-dog-parks,https://goo.gl/maps/YZKYZVDtX6sW7dUu7,"leash-free,fenced,grass,scenic",,"<p>Parc du Sault-au-Récollet Dog Park is a charming leash-free area in Montreal, known for its tranquil setting near the river. It’s a hidden gem for dog lovers seeking peace and space.</p>",,,,,,,
Park ’n’ Bark Off-Leash Dog Area,park-n-bark-off-leash-dog-area,683758b0a3f8a696dfc417b0,683758b09dd1e3ac2e4e9809,6871bf9776a02631e1d622ce,false,false,Sat Jul 12 2025 01:51:19 GMT+0000 (Coordinated Universal Time),Sun Aug 16 2026 12:00:00 GMT+0000 (Coordinated Universal Time),Sat Jul 12 2025 03:27:49 GMT+0000 (Coordinated Universal Time),Park 'n' Bark Off-Leash Dog Area,Leash Free,"<p>Lethbridge's current dog parks page gives a much clearer description: Park 'n' Bark sits at the corner of Scenic Drive North and Stafford Drive North, it is fenced, and it covers about 5.5 acres. The city also identifies the key visitor-facing features that matter most for trip planning: a paved pathway loop, rolling hills, agility equipment, and accessible seating areas.</p><p>In May 2023, Lethbridge announced new toys, agility equipment, and shade structures for Park 'n' Bark, specifically naming weave poles, tunnels, hoop jumps, and umbrella shades.Later in November 2023, the city temporarily closed the park for installation of light poles and bases and for gate-latch work, then returned to finish the lighting project with fixture installation. Those updates matter because they show Park 'n' Bark has continued to receive infrastructure investment rather than sitting as an outdated static listing.</p><p>Current Lethbridge etiquette rules also apply here. The city says dogs must remain on leash in public spaces unless they are inside an off-leash area, aggressive dogs are not allowed, handlers are responsible for respecting the safety of others, dogs should stay on leash until past the marker signs because these areas exist within shared park spaces, and waste cleanup is required. the current location, scale, surfaced loop, equipment, accessibility features, and the city's current operating guidance for safe use.</p>",Corner of Scenic Drive North and Stafford Drive North,,,Lethbridge,Alberta,,Yes,Yes,Grass and paved pathway loop,About 5.5 acres,Unknown,Yes - accessible seating areas,Yes - shade structures added in 2023,Unknown,Unknown,Unknown,Unknown,,Temporary closures may occur for maintenance or park improvement work,https://www.lethbridge.ca/parks-leisure-recreation/parks-and-playgrounds/dog-parks/,https://www.google.com/maps/search/?api=1&query=Scenic+Drive+North+and+Stafford+Drive+North+Lethbridge+AB,"off-leash,fenced,paved-loop,agility-equipment","<p>Primary sources reviewed August 16, 2026: https://www.lethbridge.ca/parks-leisure-recreation/parks-and-playgrounds/dog-parks/ ; https://www.lethbridge.ca/news/posts/the-park-n-bark-is-getting-toys/ ; https://www.lethbridge.ca/news/posts/park-n-bark-upcoming-closure/ ; and https://www.lethbridge.ca/news/posts/park-n-bark-lighting-closure/ . These sources support the Scenic Drive North and Stafford Drive North location, the roughly 5.5-acre fenced layout, paved pathway loop, hills, agility equipment, accessible seating areas, separate small-dog-area equipment work, and the late-2023 lighting and gate-latch project.</p>","<p>Park 'n' Bark is one of the City of Lethbridge's official off-leash dog parks, located at the corner of Scenic Drive North and Stafford Drive North. The current city dog-park guide describes it as a fenced site of about 5.5 acres with a paved pathway loop, hills, agility equipment, and accessible seating areas.</p>",,Sun Aug 16 2026 12:00:00 GMT+0000 (Coordinated Universal Time),"Park 'n' Bark Off-Leash Dog Area | Lethbridge, AB | LeashFree.ca","Source-backed guide to Park 'n' Bark in Lethbridge, covering the Scenic Drive North and Stafford Drive North location, the roughly 5.5-acre fenced layout, paved loop pathway, hills, agility equipment, accessible seating, and recent city improvement work.",,,
